SampleName	FQ_One	FQ_Two	files	names	SRR	source_name	age_group	Age	Group
RSq24	SRR1299330_GSM1398972_RSq24_5_duct_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299330_GSM1398972_RSq24_5_duct_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq24/quant.sf	RSq24	SRR1299330	duct	young	5	duct
RSq25	SRR1299331_GSM1398973_RSq25_5_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299331_GSM1398973_RSq25_5_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq25/quant.sf	RSq25	SRR1299331	alpha	young	5	alpha
RSq26	SRR1299332_GSM1398974_RSq26_5_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299332_GSM1398974_RSq26_5_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq26/quant.sf	RSq26	SRR1299332	beta	young	5	beta
RSq28	SRR1299333_GSM1398975_RSq28_5_acinar_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299333_GSM1398975_RSq28_5_acinar_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq28/quant.sf	RSq28	SRR1299333	acinar	young	5	acinar
RSq29	SRR1299334_GSM1398976_RSq29_48_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299334_GSM1398976_RSq29_48_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq29/quant.sf	RSq29	SRR1299334	alpha	old	48	alpha
RSq31	SRR1299335_GSM1398977_RSq31_48_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299335_GSM1398977_RSq31_48_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq31/quant.sf	RSq31	SRR1299335	beta	old	48	beta
RSq32	SRR1299336_GSM1398978_RSq32_1.5_duct_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299336_GSM1398978_RSq32_1.5_duct_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq32/quant.sf	RSq32	SRR1299336	duct	young	1.5	duct
RSq33	SRR1299337_GSM1398979_RSq33_54_duct_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299337_GSM1398979_RSq33_54_duct_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq33/quant.sf	RSq33	SRR1299337	duct	old	54	duct
RSq34	SRR1299338_GSM1398980_RSq34_42_acinar_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299338_GSM1398980_RSq34_42_acinar_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq34/quant.sf	RSq34	SRR1299338	acinar	old	42	acinar
RSq35	SRR1299339_GSM1398981_RSq35_5_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299339_GSM1398981_RSq35_5_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq35/quant.sf	RSq35	SRR1299339	alpha	young	5	alpha
RSq37	SRR1299340_GSM1398982_RSq37_5_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299340_GSM1398982_RSq37_5_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq37/quant.sf	RSq37	SRR1299340	beta	young	5	beta
RSq38	SRR1299341_GSM1398983_RSq38_0.8_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299341_GSM1398983_RSq38_0.8_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq38/quant.sf	RSq38	SRR1299341	alpha	young	0.8	alpha
RSq39	SRR1299342_GSM1398984_RSq39_0.8_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299342_GSM1398984_RSq39_0.8_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq39/quant.sf	RSq39	SRR1299342	beta	young	0.8	beta
RSq40	SRR1299343_GSM1398985_RSq40_1.4_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299343_GSM1398985_RSq40_1.4_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq40/quant.sf	RSq40	SRR1299343	beta	young	1.4	beta
RSq42	SRR1299344_GSM1398986_RSq42_1.4_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299344_GSM1398986_RSq42_1.4_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq42/quant.sf	RSq42	SRR1299344	alpha	young	1.4	alpha
RSq45	SRR1299345_GSM1398987_RSq45_6_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299345_GSM1398987_RSq45_6_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq45/quant.sf	RSq45	SRR1299345	beta	young	6	beta
RSq46	SRR1299346_GSM1398988_RSq46_6_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299346_GSM1398988_RSq46_6_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq46/quant.sf	RSq46	SRR1299346	alpha	young	6	alpha
